armRegionName,serviceFamily,serviceName,skuName,armSkuName,retailPrice,priceType,reservationTerm,unitOfMeasure,currencyCode
koreacentral,Compute,Cloud Services,F72s v2 Low Priority,,2.548,,,1 Hour,USD
koreacentral,Compute,Cloud Services,F72s v2 Low Priority,,0.612,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX96-48ms v2 Spot,Standard_FX96-48ms_v2,3.172,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX96-48ms v2 Spot,Standard_FX96-48ms_v2,2.46544,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48ls v6 Spot,Standard_D48ls_v6,0.662586,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48ls v6 Spot,Standard_D48ls_v6,0.346401,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48a v4 Low Priority,Standard_D48a_v4,0.566,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX4-2mds v2,Standard_FX4-2mds_v2,0.978,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX4-2mds v2,Standard_FX4-2mds_v2,0.794,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8ds v6 Spot,Standard_D8ds_v6,0.087782,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64as v4,Standard_D64as_v4,3.776,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64as v4,Standard_D64as_v4,19186.0,,1 Year,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64as v4,Standard_D64as_v4,37312.0,,3 Years,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8s v4,Standard_D8s_v4,0.472,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8s v4,Standard_D8s_v4,2404.0,,1 Year,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8s v4,Standard_D8s_v4,4664.0,,3 Years,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8lds v6 Spot,Standard_D8lds_v6,0.071314,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,HX176rs Spot,Standard_HX176rs,1.796256,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F2as v6,Standard_F2as_v6,0.26,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F2as v6,Standard_F2as_v6,0.168,,,1 Hour,USD
