currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,effectiveEndDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,reservationTerm
USD,0.0,1.008,1.008,koreacentral,KR Central,2017-04-01T00:00:00Z,,c4062214-e260-4f62-a8ef-73b368591567,E8-2s v3,DZH318Z0BPVN,DZH318Z0BPVN/024H,Virtual Machines ESv3 Series Windows,E8-2s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_E8-2s_v3,
USD,0.0,0.64,0.64,koreacentral,KR Central,2017-03-01T00:00:00Z,,c4062214-e260-4f62-a8ef-73b368591567,E8-2s v3,DZH318Z0BPVN,DZH318Z0BPVN/024H,Virtual Machines ESv3 Series Windows,E8-2s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,False,Standard_E8-2s_v3,
USD,0.0,0.138,0.138,koreacentral,KR Central,2021-11-01T00:00:00Z,,8216a00e-9b12-5de8-bab9-683f3e18e5c2,E8-2ds v5 Low Priority,DZH318Z096SN,DZH318Z096SN/017Z,Virtual Machines Edsv5 Series,E8-2ds v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_E8-2ds_v5,
USD,0.0,0.277,0.277,koreacentral,KR Central,2021-11-01T00:00:00Z,,09182090-0530-5d8c-91cc-013f1ad71dbb,E16d v4 Low Priority,DZH318Z0D1L5,DZH318Z0D1L5/0118,Virtual Machines Edv4 Series,E16d v4 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E16d_v4,
USD,0.0,1.118106,1.118106,koreacentral,KR Central,2025-07-01T00:00:00Z,,09296422-f53b-504b-9f4c-f8be408bede9,E64-16s v4 Spot,DZH318Z0CSHC,DZH318Z0CSHC/001N,Virtual Machines Esv4 Series Windows,E64-16s v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E64-16s_v4,
USD,0.0,0.696525,0.696525,koreacentral,KR Central,2025-07-01T00:00:00Z,,09296422-f53b-504b-9f4c-f8be408bede9,E64-16s v4 Spot,DZH318Z0CSHC,DZH318Z0CSHC/001N,Virtual Machines Esv4 Series Windows,E64-16s v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,Standard_E64-16s_v4,
USD,0.0,1.676,1.676,koreacentral,KR Central,2022-01-01T00:00:00Z,,094f7339-5084-5d00-af53-b00b9955faa6,E112ias v5 Low Priority,DZH318Z093WZ,DZH318Z093WZ/045P,Virtual Machines Easv5 Series,E112ias v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E112ias_v5,
USD,0.0,0.956,0.956,koreacentral,KR Central,2025-06-01T00:00:00Z,,9d54885c-9c03-5567-ab9f-1d4cbc857442,E8-2as v6,DZH318Z0F5F3,DZH318Z0F5F3/02SG,Virtual Machines Easv6 Series Windows,E8-2as v6,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_E8-2as_v6,
USD,0.0,0.588,0.588,koreacentral,KR Central,2025-06-01T00:00:00Z,,9d54885c-9c03-5567-ab9f-1d4cbc857442,E8-2as v6,DZH318Z0F5F3,DZH318Z0F5F3/02SG,Virtual Machines Easv6 Series Windows,E8-2as v6,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,False,Standard_E8-2as_v6,
USD,0.0,0.303584,0.303584,koreacentral,KR Central,2025-07-01T00:00:00Z,,0963cef2-a44d-51f7-9926-3837029394c0,E16-4ds v5 Spot,DZH318Z096SL,DZH318Z096SL/081X,Virtual Machines Edsv5 Series Windows,E16-4ds v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E16-4ds_v5,
USD,0.0,0.198189,0.198189,koreacentral,KR Central,2025-07-01T00:00:00Z,,0963cef2-a44d-51f7-9926-3837029394c0,E16-4ds v5 Spot,DZH318Z096SL,DZH318Z096SL/081X,Virtual Machines Edsv5 Series Windows,E16-4ds v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,Standard_E16-4ds_v5,
USD,0.0,0.985216,0.985216,koreacentral,KR Central,2025-07-01T00:00:00Z,,098ba48e-f70e-5411-98fb-96bed04a4de0,D64 v3/D64s v3 Spot,DZH318Z0BPVL,DZH318Z0BPVL/012K,Virtual Machines Dv3 Series Windows,D64 v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D64_v3,
USD,0.0,0.563635,0.563635,koreacentral,KR Central,2025-07-01T00:00:00Z,,098ba48e-f70e-5411-98fb-96bed04a4de0,D64 v3/D64s v3 Spot,DZH318Z0BPVL,DZH318Z0BPVL/012K,Virtual Machines Dv3 Series Windows,D64 v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,Standard_D64_v3,
USD,0.0,0.079619,0.079619,koreacentral,KR Central,2025-07-01T00:00:00Z,2025-07-31T23:59:00Z,09901782-0ea1-58d7-91c1-b3b63893a339,D8ds v5 Spot,DZH318Z08MC6,DZH318Z08MC6/00D7,Virtual Machines Ddsv5 Series,Standard_D8ds_v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D8ds_v5,
USD,0.0,7.32,7.32,koreacentral,KR Central,2019-01-01T00:00:00Z,,ce69d26d-40ae-4533-9153-a93798346d20,E64-16s v3,DZH318Z0BPVN,DZH318Z0BPVN/023Z,Virtual Machines ESv3 Series Windows,E64-16s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_E64-16s_v3,
USD,0.0,4.376,4.376,koreacentral,KR Central,2019-01-01T00:00:00Z,,ce69d26d-40ae-4533-9153-a93798346d20,E64-16s v3,DZH318Z0BPVN,DZH318Z0BPVN/023Z,Virtual Machines ESv3 Series Windows,E64-16s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,False,Standard_E64-16s_v3,
USD,0.0,0.068,0.068,koreacentral,KR Central,2024-03-01T00:00:00Z,,09b5bb58-87f5-4c8f-a121-5502b145a036,A2 v2 Low Priority,DZH318Z0BPW1,DZH318Z0BPW1/00J4,Virtual Machines Av2 Series Windows,A2 v2 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_A2_v2,
